pop,state,zip
1558,36,13660
15782,36,13669
19393,36,11501
4597,36,11514
33454,36,11735
8688,36,11792
10667,36,11968
106,36,13364
158,36,13404
281,36,13410
66,36,13415
287,36,13435
124,36,13441
66,36,13472
297,36,13484
151,36,13488
332,36,13494
13,36,13623
209,36,13628
271,36,13636
65,36,13641
36,36,13643
37,36,13647
153,36,13651
228,36,13666
3215,36,13167
391,36,13312
3954,36,13317
11097,36,13323
123,36,13436
885,36,13682
1896,36,13697
6039,36,13118
2250,36,13120
3736,36,13131
333,36,13614
5715,36,13624
1863,36,13625
2245,36,13626
9442,36,13037
2621,36,13044
4980,36,13053
351,36,13846
22186,36,13850
343,36,13861
4429,36,13862
586,36,13155
10607,36,13078
286,36,13639
414,36,13756
2604,36,13042
6689,36,13135
2056,36,13327
16382,36,13413
32542,36,13502
202,36,13342
10640,36,13619
2683,36,13730
3736,36,13476
1162,36,13615
1989,36,13679
2482,36,13812
41243,36,13440
14915,36,11782
3106,36,13308
4279,36,13460
1278,36,13807
1534,36,13808
24511,36,13069
145,36,13674
112,36,13677
276,36,13678
64,36,13692
184,36,13695
47,36,13696
105,36,13751
106,36,13784
70,36,13794
288,36,13806
138,36,13845
84,36,13847
26,36,13860
6149,36,13902
571,36,13454
2405,36,13459
2760,36,13478
324,36,13483
679,36,13489
1544,36,13608
11034,36,13617
362,36,13640
3431,36,13655
2288,36,13658
292,36,13664
763,36,13672
7796,36,13732
3233,36,13754
192,36,13774
3424,36,13795
5196,36,13830
3947,36,13833
253,36,13834
2099,36,13843
2382,36,13324
34,36,13333
1419,36,13348
813,36,13361
8469,36,13365
8617,36,13367
13291,36,13421
2468,36,13424
2113,36,13425
1754,36,13428
3253,36,13438
3313,36,13471
1437,36,13477
3398,36,13480
11268,36,13492
