substation,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger
OGDENSBURG,Central,Ogdensburg,2,0,4,1,23/5,1.5,6,5907,1988-12-01,23.0,5.0,0.0,1.5,0,0,0,0,True
OGDENSBURG,Central,Ogdensburg,2,0,4,1,23/0.48,0.5,0,5907,1988-12-01,23.0,0.48,0.0,0.5,0,0,0,0,True
OGDENSBURG,Central,Ogdensburg,2,0,4,1,23/5,1.5,0,5907,1988-12-01,23.0,5.0,0.0,1.5,0,0,0,0,True
OLD FORGE,Central,Webb,0,2,4,3,46/4.8,1.25,6,2719,1992-01-01,46.0,4.8,0.0,1.25,0,0,0,0,True
OLD FORGE,Central,Webb,0,2,4,1,46/4.8,2,0,2719,1992-01-01,46.0,4.8,0.0,2,0,0,0,0,True
ONEIDA,Central,Verona,7,0,7,1,115/13.8,12/16/22.4,14,10374,1968-08-04,115.0,13.8,0.0,12,16,22.4,0,0,True
ONEIDA,Central,Verona,7,0,7,1,115/13.8,15/20/25,0,10374,1968-08-04,115.0,13.8,0.0,15,20,25,0,0,True
ORANGEVILLE STATION,West,Orangeville,0,1,1,1,34.5/4.8/34.5,2.5,2,711,1997-01-01,34.5,4.8,34.5,2.5,0,0,0,0,False
OTTEN,East,Dresden,1,0,1,1,115/4.8,3.75/4.68,2,610,1954-06-15,115.0,4.8,0.0,3.75,4.68,0,0,0,True
PALOMA,Central,Oswego,2,0,4,1,115/13.8,12/16/20,6,10154,1968-01-01,115.0,13.8,0.0,12,16,20,0,0,True
PANAMA,West,Harmony,0,2,1,1,34.5/4.8,1.5,3,642,2002-06-19,34.5,4.8,0.0,1.5,0,0,0,0,True
PARISH,Central,Parish,0,1,1,1,34.5/4.8,3,2,529,1950-01-01,34.5,4.8,0.0,3,0,0,0,0,True
PARISHVILLE,Central,Parishville,1,0,1,2,4.8/2.4,0.5,2,653,1949-01-01,4.8,2.4,0.0,0.5,0,0,0,0,True
PARK STREET,Central,Syracuse,0,1,4,1,34.5/4.16,5/6.25,5,3663,1956-01-01,34.5,4.16,0.0,5,6.25,0,0,0,True
PATROON,East,Albany,2,5,4,1,115/34.5/13.8,30/40/50,11,3864,2004-12-22,115.0,34.5,13.8,30,40,50,0,0,True
PATROON,East,Albany,2,5,4,1,115/13.8,15/20/25,0,3864,2004-12-22,115.0,13.8,0.0,15,20,25,0,0,True
PAUL SMITHS,Central,Brighton,0,1,3,1,46/4.8,2.5,4,343,2004-03-01,46.0,4.8,0.0,2.5,0,0,0,0,True
PEAT STREET,Central,Syracuse,2,0,4,1,115/13.8,12/16/20/22.4,6,8314,1971-01-01,115.0,13.8,0.0,12,16,20,22.4,0,True
PEBBLE HILL,Central,Dewitt,1,3,4,1,115/13.8/7.9,20/26.7/33.3,8,5760,1993-05-01,115.0,13.8,7.9,20,26.7,33.3,0,0,True
PEBBLE HILL,Central,Dewitt,1,3,4,1,115/34.5,20/26.6/33.3,0,5760,1993-05-01,115.0,34.5,0.0,20,26.6,33.3,0,0,True
